stock_id,company_name,sector,longBusinessSummary,country,industry,currency,exchange,longName,shortName,52WeekChange,fiftyTwoWeekHigh,volume
0700.HK,Tencent Holdings,Communication Services,"Tencent Holdings Limited, an investment holding company, provides value-added services (VAS) and Online advertising services in Mainland China and internationally. The company operates through VAS, Online Advertising, FinTech and Business Services, and Others segments. It offers online games and social network services; FinTech and cloud services, and online advertising services, such as media, social, and others advertisement services. The company is also involved in production, investment, and distribution of films and television programs for third parties, as well as copyrights licensing, merchandise sales, and other activities. In addition, it develops software; develops and operates online games; and provides information technology, information system integration, asset management, online literature, and online music entertainment services. The company has strategic collaboration with RareStone Inc. to develop a service ecosystem focused on rare disease patients in China. Tencent Holdings Limited company was founded in 1998 and is headquartered in Shenzhen, the People's Republic of China.",China,Internet Content & Information,HKD,HKG,Tencent Holdings Limited,TENCENT,,640,17741106
1398.HK,ICBC HK,Financial Services,"Industrial and Commercial Bank of China Limited, together with its subsidiaries, provides banking products and services in the People's Republic of China and internationally. It operates through Corporate Banking, Personal Banking, and Treasury Operations segments. The Corporate Banking segment offers financial products and services to corporations, government agencies, and financial institutions. Its products and services include corporate loans, trade financing, deposit-taking activities, corporate wealth management services, custody activities, various corporate intermediary services, etc. The Personal Banking segment provides financial products and services to individual customers. This segment's products and services comprise personal loans and cards, deposits, personal wealth management, personal intermediary services, etc. The Treasury Operations segment is involved in the money market transactions, investment securities, and foreign exchange transactions, as well as in the holding of derivative positions. The company also offers e-banking services, including Internet, telephone, and mobile banking services; and investment banking, fund and financial asset management, trust, financial leasing, broker dealer, securities margin and trading, insurance, and other financial services. It operates 16,653 institutions, including 16,227 domestic institutions and 426 overseas institutions. Industrial and Commercial Bank of China Limited was founded in 1984 and is headquartered in Beijing, the People's Republic of China.",China,Banks—Diversified,HKD,HKG,Industrial and Commercial Bank of China Limited,ICBC,,5.5,216123073
0939.HK,China Construction Bank,Financial Services,"China Construction Bank Corporation provides various banking and related financial services to individuals and corporate customers in the People's Republic of China and internationally. It operates through Corporate Banking, Personal Banking, Treasury Business, and Others segments. The company accepts various deposits, such as foreign currency, all in one accounts, RMB, corporate term and notification, and corporate demand deposits, as well corporate deposits by agreement. Its loan products include personal business, car, and housing loans; and SME, traditional credit, commercial draft, buyer credit, and RMB credit line loans. The company also offers credit cards; physical gold for personal investment and personal gold accounts; foreign exchange services; certificate treasury and savings bonds, securities deposit accounts, and securities services, as well as bank-securities transfer and book-entry treasury bond over the counter services; and wealth management products. In addition, it provides collection, salaries payment, third-party collection and payment, insurance agency, and remittance services; international settlement and financing, and FI services; securities and fund settlement services; guarantee-based, consulting and advising, and factoring services; fund custody services; treasury, asset management, trustee, finance leasing, investment banking, and other financial services; and e-banking services. Further, the company offers institutional services comprising services for government agencies, social security, banks cooperation, bank-securities cooperation, bank-insurance cooperation, and services for non-banking financial institutions. As of December 31, 2020, it operated 14,741 banking outlets. China Construction Bank Corporation was founded in 1954 and is headquartered in Beijing, the People's Republic of China.",China,Banks—Diversified,HKD,HKG,China Construction Bank Corporation,CCB,,6.56,320134367
3988.HK,Bank Of China HK,Financial Services,"Bank of China Limited, together with its subsidiaries, provides banking and related financial services. It operates through six segments: Corporate Banking, Personal Banking, Treasury Operations, Investment Banking, Insurance, and Other Operations. The Corporate Banking segment offers current accounts, deposits, overdrafts, loans, trade-related products and other credit facilities, foreign exchange, derivatives, and wealth management products to corporate customers, government authorities, and financial institutions. The Personal Banking segment provides savings deposits, personal loans, credit and debit cards, payments and settlements, wealth management products, and funds and insurance agency services to retail customers. The Treasury Operations segment is involved in the foreign exchange transactions, customer-based interest rate and foreign exchange derivative transactions, money market transactions, proprietary trading, and asset and liability management. The Investment Banking segment offers debt and equity underwriting, financial advisory, stock brokerage, investment research and asset management, and private equity investment services, as well as sells and trades in securities. The Insurance segment underwrites general and life insurance products; and provides insurance agency services. As of December 31, 2020, the company operated approximately 11,550 institutions, including 10,991 institutions in Chinese mainland; and 559 institutions in Hong Kong, Macau, Taiwan, and other countries. It is also involved in the aircraft leasing business. The company was founded in 1912 and is headquartered in Beijing, China. Bank of China Limited is a subsidiary of Central Huijin Investment Limited.",China,Banks—Diversified,HKD,HKG,Bank of China Limited,BANK OF CHINA,,3.2,353736698
0857.HK,PetroChina,Energy,"PetroChina Company Limited, together with its subsidiaries, engages in a range of petroleum related products, services, and activities in Mainland China and internationally. It operates through Exploration and Production, Refining and Chemicals, Marketing, and Natural Gas and Pipeline segments. The Exploration and Production segment engages in the exploration, development, production, and marketing of crude oil and natural gas. The Refining and Chemicals segment refines crude oil and petroleum products; and produces and markets primary petrochemical products, derivative petrochemical products, and other chemical products. The Marketing segment is involved in marketing of refined products and trading business. The Natural Gas and Pipeline segment engages in the transmission of natural gas, crude oil, and refined products; and sale of natural gas. As of December 31, 2020, the company had a total length of 31,151 km, including 22,555 km of natural gas pipelines, 7,190 km of crude oil pipelines, and 1,406 km of refined product pipelines. The company is also involved in the exploration, development, and production of oil sands and coalbed methane; trading of crude oil and petrochemical products; storage, chemical engineering, storage facilities, service station, and transportation facilities and related businesses; and production and sales of basic and derivative chemical, and other chemical products. The company was founded in 1999 and is headquartered in Beijing, the People's Republic of China. PetroChina Company Limited is a subsidiary of China National Petroleum Corporation.",China,Oil & Gas Integrated,HKD,HKG,PetroChina Company Limited,PETROCHINA,,4.49,91164111
0941.HK,China Mobile,Communication Services,"China Mobile Limited provides telecommunications services in Mainland China and Hong Kong. Its businesses primarily consist of mobile voice and data business, wireline broadband, and other information and communications services. As of December 31, 2020, the company served a total of 942 million mobile customers and 210 million wireline broadband customers. It also offers telecommunications network planning, design, and consulting services; roaming clearance, IT system operation, and technology support services; value-added platform development and maintenance services; mobile data, and system integration and development services; network construction and maintenance, network planning and optimizing, and training services; non-banking financial services; and electronic communication products design services, as well as sells related products. In addition, the company provides mobile cloud research and development services; call center services; e-payment, e-commerce, and Internet finance services; and mobile Internet digital content services, as well as operates a network and business coordination center. The company was formerly known as China Mobile (Hong Kong) Limited and changed its name to China Mobile Limited in May 2006. The company was incorporated in 1997 and is based in Central, Hong Kong. China Mobile Limited is a subsidiary of China Mobile Hong Kong (BVI) Limited.",Hong Kong,Telecom Services,HKD,HKG,China Mobile Limited,CHINA MOBILE,,58.65,18294973
2318.HK,Ping An Insurance,Financial Services,"Ping An Insurance (Group) Company of China, Ltd. provides financial products and services for insurance, banking, asset management, and fintech and healthtech businesses in the People's Republic of China. The company's Life and Health Insurance segment offers term, whole-life, endowment, annuity, investment-linked, universal life, and health care and medical insurance to individual and corporate customers. Its Property and Casualty Insurance segment provides auto, non-auto, and accident and health insurance to individual and corporate customers. The company's Banking segment undertakes loan and intermediary businesses with corporate and retail customers; and offers wealth management and credit card services to individual customers. Its Trust segment provides trust services; and undertakes investing activities. The company's Securities segment offers brokerage, trading, investment banking, and asset management services. Its Other Asset Management segment provides investment management, finance lease, and other asset management services. The company's Technology segment offers financial and daily-life services through internet platforms, such as financial transaction information service platform, and health care service platform. It also provides annuity insurance, investment management, IT and business process outsourcing, real estate investment, futures brokerage, consulting, project investment, financial advisory, currency brokerage, property agency, fund raising and distribution, real estate development and leasing, and insurance agency services. In addition, the company provides factoring, equity investment, financing guarantee, logistics, management consulting, e-commerce, credit information, and private equity financing services; and operates an expressway, as well as produces and sells consumer chemicals. The company has strategic agreements with Zhongshan Hospital and Shenzhen Stock Exchange. The company was founded in 1988 and is based in Shenzhen, China.",China,Insurance—Life,HKD,HKG,"Ping An Insurance (Group) Company of China, Ltd.",PING AN,,90.85,28497005
0005.HK,HSBC Holdings,Financial Services,"HSBC Holdings plc provides banking and financial services worldwide. The company operates through Wealth and Personal Banking, Commercial Banking, and Global Banking and Markets segments. The Wealth and Personal Banking segment offers retail banking products and services, including current and savings accounts, mortgages and personal loans, credit and debit cards, and local and international payment services for ultra high net worth individuals; and wealth management services comprising insurance and investment products, global asset management services, investment management, and private wealth solutions. The Commercial Banking segment provides credit and lending, treasury management, payment, cash management, commercial insurance, and investment services, as well as commercial cards, and international trade and receivables finance services; foreign exchange products; and capital raising services on debt and equity markets; and advisory services. It serves small and medium sized enterprises, mid-market enterprises, and corporates. The Global Banking and Markets segment offers financing, advisory, and transaction services; and credit, rates, foreign exchange, equities, money markets, and securities services, as well as engages in principal investment activities. It serves government, corporate and institutional clients, and private investors. HSBC Holdings plc was founded in 1865 and is headquartered in London, the United Kingdom.",United Kingdom,Banks—Diversified,HKD,HKG,HSBC Holdings plc,HSBC HOLDINGS,,59.6,14672531
1299.HK,AIA Group,Financial Services,"AIA Group Limited provides insurance products and services. The company offers life, medical, accident protection, critical illness protection, and disability protection insurance products, as well as savings plans for individuals; and employee benefit, credit insurance, retirement, and regional solutions for businesses. It also distributes investment and other financial services products. The company distributes its products and services through agents and partners. It operates in Hong Kong, Macau, Thailand, Singapore, Brunei, Malaysia, Mainland China, Australia, New Zealand, Cambodia, Indonesia, Myanmar, the Philippines, South Korea, Sri Lanka, Taiwan, Vietnam, and India. AIA Group Limited was founded in 1919 and is headquartered in Central, Hong Kong.",Singapore,Insurance—Life,HKD,HKG,AIA Group Limited,AIA,,104.8,28136538
2628.HK,China Life Insurance,Financial Services,"China Life Insurance Company Limited, together with its subsidiaries, operates as a life insurance company in the People's Republic of China. It operates in four segments: Life Insurance Business, Health Insurance Business, Accident Insurance Business, and Other Businesses. The company offers individual and group life, annuity products, accident, and health insurance products. It is also involved in the third-party asset management, annuity funds, fund management, investment management, pension security, occupational pension, reinsurance, and health management businesses. China Life Insurance Company Limited sells its products through agents, direct sales representatives, and dedicated and non-dedicated agencies. The company was founded in 1949 and is based in Beijing, the People's Republic of China. China Life Insurance Company Limited is a subsidiary of China Life Insurance (Group) Company Limited.",China,Insurance—Life,HKD,HKG,China Life Insurance Company Limited,CHINA LIFE,,16.64,13607431
RELIANCE.NS,Reliance Ltd.,Energy,"Reliance Industries Limited engages in hydrocarbon exploration and production, petroleum refining and marketing, petrochemicals, textile, retail, digital, and financial services businesses worldwide. The company produces and markets petroleum products, such as liquefied petroleum gas, propylene, naphtha, gasoline, jet/aviation turbine fuel, kerosene oil, diesel, Sulphur, and petroleum coke. It also provides petrochemicals, including high-density and low-density polyethylene (PE), linear low density PE, polyester fibers and yarns, polypropylene, polyvinyl chloride, polyester yarn, purified terephthalic acid, ethylene glycols and oxide, paraxylene, ortho xylene, benzene, linear alkyl benzene and paraffin, poly butadiene rubber, styrene butadiene rubber, butyl rubber, and polyethylene terephthalate. In addition, the company manufactures and markets yarns, fabrics, apparel, and auto furnishings; explores, develops, and produces crude oil and natural gas; and operates various stores comprising neighborhood, supermarket, hypermarket, wholesale cash and carry, specialty, online, pharmacy, and grocery stores, as well as stores that offer apparel, beauty and cosmetics, accessories, footwear, consumer electronics, connectivity products, and others. As of March 31, 2021, it operated 12,711 retail stores. Further, it provides range of digital services under the Jio brand name; and non-banking financial and insurance broking services. Further, it operates news and entertainment platforms, finance portals, fashion and lifestyle portals, and online ticket booking platforms, as well as Network18 and television channels; publishes magazines; and offers highway hospitality and fleet management services. The company was incorporated in 1973 and is based in Mumbai, India.",India,Oil & Gas Refining & Marketing,INR,NSI,Reliance Industries Limited,RELIANCE INDS,,2751.35,12062458
TCS.NS,TCS,Technology,"Tata Consultancy Services Limited provides information technology (IT) and IT enabled services worldwide. The company operates through Banking, Financial Services and Insurance; Manufacturing; Retail and Consumer Business; Communication, Media and Technology; and Others segments. It offers CHROMA, a cloud-based talent management solution; ignio, a cognitive automation software product; TCS iON, an assessment platform; TAP, a procurement offering; TCS MasterCraft, a platform to automate and manage IT processes; Quartz, a blockchain solution; and TCS OmniStore, a commerce platform. The company also provides customer intelligence and insight solutions; Intelligent Urban Exchange, an integrated software to accelerate smart city programs; OPTUMERA, a digital merchandising suite; TCS BaNCS, a financial platform; and Jile, an agile DevOps product. In addition, it offers advanced drug development and connected intelligent platforms; ERP on cloud, an enterprise solution; and HOBS, a platform for subscription based digital business. Further, the company provides cognitive business, consulting, analytics, automation and artificial intelligence, Internet of Things, cloud applications, blockchain, cloud infrastructure, cyber security, interactive, industrial and quality engineering, and enterprise services. It serves banking, financial, and public services; consumer goods and distribution; insurance; life sciences and healthcare; manufacturing, retail; hi-tech; travel, transportation, and hospitality industries; communications, media, and technology industries; and energy, resource, and utility industries. It has strategic partnerships with Bharti Airtel Limited for implementing 5G networks in India; Google LLC for launching Google Garages; and NICE Ltd. to expand markets for financial crime solutions. The company was founded in 1968 and is headquartered in Mumbai, India. Tata Consultancy Services Limited is a subsidiary of Tata Sons Private Limited.",India,Information Technology Services,INR,NSI,Tata Consultancy Services Limited,TATA CONSULTANCY S,,4043,3168172
HDFCBANK.NS,HDFC Bank,Financial Services,"HDFC Bank Limited provides various banking and financial services to individuals and businesses in India, Bahrain, Hong Kong, and Dubai. It operates in Treasury, Retail Banking, Wholesale Banking, Other Banking Business, and Unallocated segments. The company accepts savings, salary, current, rural, public provident fund, pension, and Demat accounts; fixed and recurring deposits; and safe deposit lockers; as well as offshore accounts and deposits, overdrafts against fixed deposits, and sweep-in facilities. It also provides personal, home, car, two wheeler, business, educational, gold, consumer, and rural loans; loans against properties, securities, rental receivables, and assets; loans for professionals; government sponsored programs; and loans on credit card, as well as working capital and commercial/construction equipment finance, healthcare/medical equipment and commercial vehicle finance, dealer finance, and term and professional loans. In addition, the company offers credit, debit, prepaid, and forex cards; payment and collection, export, import, remittance, bank guarantee, letter of credit, trade, hedging, and merchant and cash management services; and insurance and investment products. Further, it provides short term finance, bill discounting, structured finance, export credit, loan syndication, and documents collection services; online and wholesale, mobile, and phone banking services; unified payment interface, immediate payment, national electronic funds transfer, and real time gross settlement services; and channel financing, vendor financing, reimbursement account, money market, derivatives, employee trusts, cash surplus corporates, tax payment, and bankers to rights/public issue services, as well as financial solutions for supply chain partners and agricultural customers. As of March 31, 2021, it had 5,608 branches and 16,087 automated teller machines in 2,902 cities/towns. HDFC Bank Limited was incorporated in 1994 and is based in Mumbai, India.",India,Banks—Regional,INR,NSI,HDFC Bank Limited,HDFC BANK,,1725,37024420
INFY.NS,Infosys,Technology,"Infosys Limited, together with its subsidiaries, provides consulting, technology, outsourcing, and next-generation digital services in North America, Europe, India, and internationally. It provides application development and management, independent validation, product engineering and management, infrastructure management, enterprise application management, and support and integration services. The company's products and platforms include Finacle, a core banking solution; Edge suite of products; Infosys Nia, an artificial intelligence platform; Infosys McCamish - an insurance platform; Wingspan, a customizable learning platform; Stater mortgage servicing platform; Panaya automation suite; and Skava, an e-commerce suite. The company serves clients in the financial services and insurance, life sciences and healthcare, manufacturing, retail, consumer packaged goods and logistics, hi-tech, communications, telecom OEM, media, energy, utilities, resources, services, and other industries. It has collaboration agreements with Rolls-Royce, BP plc, Newmont Corporation, RXR Realty, Majesco Limited, and Centre for Accessibility Australia; and a strategic partnership with The Economist Group Limited to enable and enhance sustainability solutions through a business-to-business model. The company was formerly known as Infosys Technologies Limited and changed its name to Infosys Limited in June 2011. Infosys Limited was incorporated in 1981 and is headquartered in Bengaluru, India.",India,Information Technology Services,INR,NSI,Infosys Limited,INFOSYS LTD,,1953.9,17035173
